"","EstacaoCodigo","Data","Vazão","Mês","Ano","Dia"
"246",58874000,1940-09-02,17.3521,9,1940,2
"247",58874000,1940-09-03,16.6364,9,1940,3
"248",58874000,1940-09-04,16.6364,9,1940,4
"249",58874000,1940-09-05,16.6364,9,1940,5
"250",58874000,1940-09-06,16.6364,9,1940,6
"251",58874000,1940-09-07,16.6364,9,1940,7
"252",58874000,1940-09-08,15.9343,9,1940,8
"253",58874000,1940-09-09,15.9343,9,1940,9
"254",58874000,1940-09-10,15.5883,9,1940,10
"255",58874000,1940-09-11,15.5883,9,1940,11
"256",58874000,1940-09-12,15.5883,9,1940,12
"257",58874000,1940-09-13,19.2001,9,1940,13
"258",58874000,1940-09-14,22.3297,9,1940,14
"259",58874000,1940-09-15,21.5275,9,1940,15
"260",58874000,1940-09-16,19.962601,9,1940,16
"261",58874000,1940-09-17,17.715,9,1940,17
"262",58874000,1940-09-18,16.992599,9,1940,18
"263",58874000,1940-09-19,16.6364,9,1940,19
"264",58874000,1940-09-20,16.6364,9,1940,20
"265",58874000,1940-09-21,16.6364,9,1940,21
"266",58874000,1940-09-22,16.283701,9,1940,22
"267",58874000,1940-09-23,16.6364,9,1940,23
"268",58874000,1940-09-24,16.6364,9,1940,24
"269",58874000,1940-09-25,20.7384,9,1940,25
"270",58874000,1940-09-26,23.145,9,1940,26
"271",58874000,1940-09-27,27.4168,9,1940,27
"272",58874000,1940-09-28,27.8617,9,1940,28
"273",58874000,1940-09-29,28.3099,9,1940,29
"274",58874000,1940-09-30,25.2404,9,1940,30
"275",58874000,1940-10-01,21.5275,10,1940,1
"276",58874000,1940-10-02,19.962601,10,1940,2
"277",58874000,1940-10-03,18.4508,10,1940,3
"278",58874000,1940-10-04,17.715,10,1940,4
"279",58874000,1940-10-05,17.3521,10,1940,5
"280",58874000,1940-10-06,16.6364,10,1940,6
"281",58874000,1940-10-07,16.283701,10,1940,7
"282",58874000,1940-10-08,15.2458,10,1940,8
"283",58874000,1940-10-09,15.2458,10,1940,9
"284",58874000,1940-10-10,15.2458,10,1940,10
"285",58874000,1940-10-11,15.2458,10,1940,11
